Order ID,Order Date,Order Mode,Customer ID,City,Postal Code,Country,Region,Product ID,Product Name,Category,Sub-Category,Sales,Cost Price,Quantity,Discount,Revenue,Profit,Margin%
HIC-342702,4/16/2024,Online,TI096309,Birmingham,B40,England,South West,01JZ3N55NK7Z3Q1DJRSNBS8K8A,Bamboo Toothbrush,Health,Oral Care & Hygiene,5.99,1.797,10,9.00%,$0.54,$41.93,70.00%
IHX-141690,10/14/2024,In-Store,AM053527,Liverpool,L74,England,South West,01JZ3N52G9KWBBS5W8K65XVX37,Stuffed Grape Leaves,Food - Prepared Foods,International Cuisine,5.79,1.737,17,,$0.00,$68.90,70.00%
ZFY-381798,7/28/2024,Online,GA094839,Aston,TF6,England,East of England,01JZ3N5697E2JNFMRZ7HR95BTQ,Hummus,Food - Snacks,Dips and Spreads,4.29,1.287,6,33.00%,$1.42,$18.02,70.00%
DTA-257023,6/24/2024,In-Store,CA010518,Buckland,CT16,England,South East,01JZ3N55GPDCTQ0M16H985G9CF,Cinnamon Raisin Bread,Food - Bakery,Breads,3.79,1.137,9,33.00%,$1.25,$23.88,70.00%
RKW-982849,4/14/2024,Online,RC069836,East End,BH21,England,East of England,01JZ3N53J5FTP9096ZS78Y3PGF,Wall Calendar,Home,Decorative Wall Art & Accessories,17.99,5.397,11,18.00%,$3.24,$138.52,70.00%
YTF-928288,10/31/2024,In-Store,XW060260,Linton,BD23,England,London,01JZ3N55W90654FHXC2MW9J551,Overnight Hiking Backpack,Outdoor,Camping Equipment,79.99,23.997,7,34.00%,$27.20,$391.95,70.00%
BYF-464482,8/5/2024,Online,FR008830,Kingston,DT10,England,London,01JZ3N50E9A9YN8P0Z7MTKENNK,Beard Grooming Kit,Grooming,Grooming,34.99,10.497,14,8.00%,$2.80,$342.90,70.00%
WEE-997453,7/1/2024,In-Store,YC016347,Thorpe,BD23,England,London,01JZ3N531RZHRE7XP6J9J2DHWD,Slingback Sandals,Clothing - Footwear,Women's Footwear,29.99,8.997,11,3.00%,$0.90,$230.92,70.00%
JDI-475937,4/1/2024,Online,PW001906,Sutton,CT15,England,Yorkshire and the Humber,01JZ3N55J2TXMQMDGPQBETRMZE,Chipotle Lime Salsa,Food - Condiments,Salsas,3.99,1.197,13,7.00%,$0.28,$36.31,70.00%
PMF-016057,3/22/2024,In-Store,LV083814,Burnside,EH52,Scotland,North West,01JZ3N513N96GEHXZ8EX7RV5DF,Travel Document Organizer,Travel,Travel Accessories,15.99,4.797,11,,$0.00,$123.12,70.00%
AFZ-196672,1/24/2024,Online,YO052337,London,WC2H,England,West Midlands,01JZ3N55RBBTDXRS10FA4G33NV,Sriracha Honey Glaze,Food - Sauces,Condiments,3.59,1.077,10,23.00%,$0.83,$25.13,70.00%
RAY-340575,10/3/2024,In-Store,YJ078139,Carlton,DL8,England,North West,01JZ3N52Q3Q3X4VAX3JPA5WFX5,Quinoa Salad,Food - Prepared Foods,Ready-to-Eat Meals,5.99,1.797,9,,$0.00,$37.74,70.00%
NRR-704122,7/11/2024,Online,QP093917,Linton,BD23,England,North East,01JZ3N50Q2YVHN18ADNX70G8GG,Peach & Mango Salsa,Food - Snacks,Salsas and Dips,4.49,1.347,6,15.00%,$0.67,$18.86,70.00%
OUE-020778,9/10/2024,In-Store,LM010826,Linton,BD23,England,North West,01JZ3N51BYKZ5TJ5JHRAC29V9P,Vegetarian Stuffed Peppers,Food - Prepared Foods,Vegetarian Meals,4.99,1.497,3,14.00%,$0.70,$10.48,70.00%
QYA-070479,10/21/2024,Online,IA020578,Aston,TF6,England,East Midlands,01JZ3N55B4WPEQE6QDRFHK84BE,Wooden Children's Play Kitchen,Toys,Pretend Play Toys,129.99,38.997,11,23.00%,$29.90,"$1,000.92",70.00%
WWL-152671,12/18/2024,In-Store,CA010518,Sheffield,S33,England,East Midlands,01JZ3N55GPDCTQ0M16H985G9CF,Cinnamon Raisin Bread,Food - Bakery,Breads,3.79,1.137,2,18.00%,$0.68,$5.31,70.00%
XHO-996385,2/29/2024,Online,SZ015455,Aberdeen,AB39,Scotland,Yorkshire & the Humber,01JZ3N54NS8RZ04GX2AJZ79DKT,Peach Slices (canned),Food - Canned Goods,Canned Fruits,2.49,0.747,16,24.00%,$0.60,$27.89,70.00%
XOM-210568,9/1/2024,In-Store,EE025228,Burnside,EH52,Scotland,Yorkshire & the Humber,01JZ3N5652QADWPPWJ0PWG860E,Thai Peanut Dressing,Food - Condiments,Dressing,3.29,0.987,17,38.00%,$1.25,$39.15,70.00%
ZMT-022457,3/24/2024,Online,DU053934,Norton,S8,England,Yorkshire & the Humber,01JZ3N54TVQ5KQSQJ34MB6ERHH,Deluxe First Aid Kit,Health,Emergency Preparedness & First Aid,39.99,11.997,6,33.00%,$13.20,$167.96,70.00%
UZF-990618,5/11/2024,In-Store,FR010822,Newbiggin,NE46,England,West Midlands,01JZ3N50VPFAHBHC4N46WSZSEX,Maple Chipotle Glaze,Food - Condiments,Sauces,3.49,1.047,5,19.00%,$0.66,$12.22,70.00%
YIZ-536167,1/14/2024,Online,PO009558,Sutton,CT15,England,East Midlands,01JZ3N51FX8Z7WYGMVG7F0YSXT,Foldable Picnic Table,Outdoor,Outdoor Furniture,49.99,14.997,13,22.00%,$11.00,$454.91,70.00%
URP-701003,1/2/2024,In-Store,MC022478,Liverpool,L33,England,South West,01JZ3N50ESGK3P4RR5Z0YF0ESD,Greek Feta Cheese,,Cheese,4.99,1.497,6,27.00%,$1.35,$20.96,70.00%
KGI-219987,6/19/2024,Online,LT063474,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N532B4S3S4KC6ED2FSAGB,Camping Tent,Outdoor,Camping Equipment,79.99,23.997,17,34.00%,$27.20,$951.88,70.00%
OCP-808228,10/12/2024,In-Store,PN010412,Wootton,NN4,England,East Midlands,01JZ3N55JX79NVSRWTH1ACVZ43,Chickpea Flour,Food - Baking,Flours & Meals,3.29,0.987,15,19.00%,$0.63,$34.55,70.00%
KSA-202828,5/27/2024,Online,IR004773,Denton,M34,England,West Midlands,01JZ3N53K4648H22HQM0V0RQ0P,Pretzel Bites,Food - Snacks,Savory Snacks,4.99,1.497,4,29.00%,$1.45,$13.97,70.00%
JEV-634682,12/9/2024,In-Store,ES037170,Tullich,AB55,Scotland,South East,01JZ3N54PW1A92ZNRYB7ESDGVV,Bamboo Memory Foam Pillow,Home,Bedding & Linens,34.99,10.497,4,24.00%,$8.40,$97.97,70.00%
MVF-283019,1/28/2024,Online,XH062520,Kirkton,KW10,Scotland,North West,01JZ3N50MKM6Z86HMK0VE0X0JY,Self-Massaging Pillow,Health,Sleep & Relaxation,49.99,14.997,8,19.00%,$9.50,$279.94,70.00%
YSW-355813,7/2/2024,In-Store,PO009558,Merton,SW19,England,London,01JZ3N51FX8Z7WYGMVG7F0YSXT,Foldable Picnic Table,Outdoor,Outdoor Furniture,49.99,14.997,6,37.00%,$18.50,$209.96,70.00%
LRP-803159,4/1/2024,Online,ZX008337,Tullich,AB55,Scotland,East Midlands,01JZ3N513XDWN5P1JB6VWJH35B,Peach Yogurt,Food - Dairy,Yogurt,1.29,0.387,7,1.00%,$0.01,$6.32,70.00%
ZHU-728643,5/9/2024,In-Store,DI067107,Newton,IV1,Scotland,North West,01JZ3N55EPTAZNA3KX60RKB3NQ,Wrap Jumpsuit,Clothing - Jumpsuits,Jumpsuits,54.99,16.497,8,13.00%,$7.15,$307.94,70.00%
LJV-275168,7/10/2024,Online,LE047809,Birmingham,B12,England,West Midlands,01JZ3N539A5HCSF7DWWR5NDZ0T,Car Diagnostic Scanner,Automotive,Automotive Tools,49.99,14.997,20,34.00%,$17.00,$699.86,70.00%
PPD-047819,7/8/2024,In-Store,SZ015455,Ford,GL54,England,North West,01JZ3N54NS8RZ04GX2AJZ79DKT,Peach Slices (canned),Food - Canned Goods,Canned Fruits,2.49,0.747,3,15.00%,$0.37,$5.23,70.00%
THY-738097,4/26/2024,Online,EB064981,Marston,ST20,England,East of England,01JZ3N55A8YWVWHPYTD1RHJFHB,Essential Oils Diffuser Necklace,Health,Aromatherapy & Wellness,19.99,5.997,13,35.00%,$7.00,$181.91,70.00%
INZ-133474,3/29/2024,In-Store,KX027147,Milton,NG22,England,West Midlands,01JZ3N558KZ286JKXHMDJF46W4,Decorative LED Neon Sign,Home,Lighting & Lamps,45.99,13.797,7,35.00%,$16.10,$225.35,70.00%
VWG-856547,9/20/2024,Online,IL009957,Norton,NN11,England,Scotland,01JZ3N53AE9HMTFV7P3DVP5RRC,Portable Massage Table,Health,Massage Therapy,199.99,59.997,8,23.00%,$46.00,"$1,119.94",70.00%
ABT-268843,7/16/2024,In-Store,AC082690,London,EC3M,England,North East,01JZ3N51NF43S4F83KN8ANJAGV,Mini Waffle Maker,Kitchen,Small Appliances,24.99,7.497,1,15.00%,$3.75,$17.49,70.00%
CUW-865430,1/24/2024,Online,VA049493,London,SW1E,England,South East,01JZ3N51PTJBK8NSJV8GDX8NH1,Organic Italian Seasoning,Food - Spices,Herbs and Spices,2.99,0.897,20,8.00%,$0.24,$41.86,70.00%
MBM-741069,11/24/2024,In-Store,ZJ097568,London,WC1B,England,South West,01JZ3N55V7T7WD21792YV0E465,Soft Plush Throw Unspecified Productet,Home,Bedding & Linens,29.99,8.997,13,11.00%,$3.30,$272.91,70.00%
KQJ-001235,4/12/2024,Online,WZ006306,Walton,CV35,England,North West,01JZ3N55NWDR1PYN87QKB5G8GC,Smoked Paprika Chicken Thighs,Food - Meat,Prepared Poultry,6.99,2.097,16,17.00%,$1.19,$78.29,70.00%
REA-513209,3/27/2024,In-Store,XJ066938,Langley,SG4,England,West Midlands,01JZ3N50MA05MEEWM055VCTKVV,Apricot Jam,Food - Condiments,Fruit Spreads,4.29,1.287,11,2.00%,$0.09,$33.03,70.00%
LWF-677768,4/9/2024,Online,KX027147,Seaton,LE15,England,North West,01JZ3N558KZ286JKXHMDJF46W4,Decorative LED Neon Sign,Home,Lighting & Lamps,45.99,13.797,11,39.00%,$17.94,$354.12,70.00%
LBS-810439,12/5/2024,In-Store,MQ028717,Whitwell,DL10,England,East Midlands,01JZ3N51K81J5M6WWGKV8BS5XX,Elderberry Syrup,Food - Supplements,Supplements,11.99,3.597,14,1.00%,$0.12,$117.50,70.00%
ARZ-296904,10/4/2024,Online,NB014517,Milton,NG22,England,London,01JZ3N52QCAFXYWMDDBS47DJ05,Maple Cinnamon Granola,Food - Cereals,Granola,4.29,1.287,9,32.00%,$1.37,$27.03,70.00%
VZQ-445742,4/16/2024,In-Store,PB063442,Marston,ST20,England,North East,01JZ3N56NQJT7PSK1CHWNZ3WN8,Cacao Powder,Food - Baking,Baking Ingredients,4.49,1.347,20,15.00%,$0.67,$62.86,70.00%
AEC-113992,4/20/2024,Online,UA071149,London,EC3M,England,West Midlands,01JZ3N51YCN1GFP18YHKZ9NARX,Luxury Bath Salts,Beauty,Bath & Body,19.99,5.997,17,20.00%,$4.00,$237.88,70.00%
CSF-687388,5/27/2024,In-Store,LE047809,Newton,IV1,Scotland,East Midlands,01JZ3N539A5HCSF7DWWR5NDZ0T,Car Diagnostic Scanner,Automotive,Automotive Tools,49.99,14.997,5,,$0.00,$174.97,70.00%
VTD-792335,4/2/2024,Online,DT034609,Walton,CV35,England,Yorkshire and the Humber,01JZ3N512SWNB2MS3TFZ1FX34N,Natural Soy Candles,Home,Home Fragrance & Accessories,19.99,5.997,17,32.00%,$6.40,$237.88,70.00%
GKM-442541,6/25/2024,In-Store,PN010412,Hatton,CV35,England,North West,01JZ3N55JX79NVSRWTH1ACVZ43,Chickpea Flour,Food - Baking,Flours & Meals,3.29,0.987,4,22.00%,$0.72,$9.21,70.00%
HEE-686754,4/12/2024,Online,AS095657,Kinloch,PH43,Scotland,West Midlands,01JZ3N52Z38YMBTDKBN72BNGMJ,Pork Chops,Food - Meat,Pork,9.49,2.847,15,10.00%,$0.95,$99.65,70.00%
UAS-390406,7/18/2024,In-Store,LT061731,Horton,BS37,England,North East,01JZ3N5605QF5QNFNAWRYMKMNK,Roasted Sweet Corn,Food - Frozen,Frozen Vegetables,1.99,0.597,19,10.00%,$0.20,$26.47,70.00%
JSD-384225,7/26/2024,Online,RU058520,Birmingham,B12,England,North West,01JZ3N56BQNGWJE6W17D61P2N9,Ribbed Knit Dress,Clothing - Dresses,Casual Dresses,59.99,17.997,4,8.00%,$4.80,$167.97,70.00%
UTS-951900,10/4/2024,In-Store,WT037292,Linton,BD23,England,South East,01JZ3N55PZNB6Y5TXZQXA1RGGC,Sweet Potato Fries,Food - Frozen Foods,Frozen Snacks,3.99,1.197,7,13.00%,$0.52,$19.55,70.00%
BQL-841570,4/24/2024,Online,DF076925,Manchester,M14,England,Yorkshire and the Humber,01JZ3N53TRMVHA7QGZFRK4NPM0,Traditional Hummus,Food - Dips,Mediterranean Dips,3.29,0.987,1,2.00%,$0.07,$2.30,70.00%
HRR-448109,1/29/2024,In-Store,CM032751,Liverpool,L33,England,South East,01JZ3N50CCQKGK69VX46KMSY00,Lemon Dill Chicken Skewers,Food - Meat,Marinated Poultry,9.99,2.997,14,,$0.00,$97.90,70.00%
HEV-539434,8/31/2024,Online,OF087559,Church End,CB4,England,South East,01JZ3N5580F22SME7YWP6763V2,Matcha Green Tea Powder,Food - Beverages,Tea,14.99,4.497,18,37.00%,$5.55,$188.87,70.00%
AGU-166262,11/24/2024,In-Store,AM053527,Middleton,LE16,England,West Midlands,01JZ3N52G9KWBBS5W8K65XVX37,Stuffed Grape Leaves,Food - Prepared Foods,International Cuisine,5.79,1.737,3,4.00%,$0.23,$12.16,70.00%
UWT-477015,8/12/2024,Online,BD074505,Middleton,LE16,England,London,01JZ3N54X6QJ7M42VWJJ1R0J5Z,Sturdy Bookends,Office,Office Accessories,22.99,6.897,13,35.00%,$8.05,$209.21,70.00%
PXZ-997751,9/19/2024,In-Store,MJ019298,Bradford,BD7,England,London,01JZ3N521NPEH9RRK9J11FCCRY,Artisan Pickles,Food - Condiments,Pickles,2.49,0.747,15,6.00%,$0.15,$26.15,70.00%
CJV-114820,10/13/2024,Online,OC007575,Birmingham,B40,England,North West,01JZ3N51XV292DJKKGKEDEXG03,Eco-Friendly Yoga Blocks,Fitness,Yoga Equipment,15.99,4.797,13,5.00%,$0.80,$145.51,70.00%
HWI-435693,8/1/2024,In-Store,JQ000431,Whitchurch,BS14,,East Midlands,01JZ3N55H83PKNR5TH9H69YCE3,Sports Water Bottle with Infuser,Fitness,Hydration Gear,19.99,5.997,19,34.00%,$6.80,$265.87,70.00%
TUH-975855,12/19/2024,Online,JX027350,Thorpe,BD23,England,London,01JZ3N5251JPAGQSNDZ381DJ2D,Avocado Oil Mayo,Food - Condiments,Dips & Spreads,5.29,1.587,9,21.00%,$1.11,$33.33,70.00%
VJK-207176,9/6/2024,In-Store,AC065424,Bradford,BD7,England,East of England,01JZ3N558ZFYZ25WMHC5485RHK,Apple Cinnamon Oatmeal,Food - Breakfast,Instant Breakfast,2.89,0.867,6,30.00%,$0.87,$12.14,70.00%
TSM-194299,4/10/2024,Online,QR064670,Sutton,RH5,England,North West,01JZ3N52DMR6FQA774NA9ENHTY,Noise Cancelling Ear Muffs,Safety,Hearing Protection,24.99,7.497,9,4.00%,$1.00,$157.44,70.00%
PCS-669873,11/28/2024,In-Store,IL085160,Liverpool,L33,England,North West,01JZ3N56FA38DH0AJWS97KXFF5,Yoga Mat,Fitness,Yoga Equipment,25,7.5,14,37.00%,$9.25,$245.00,70.00%
LHH-558367,3/22/2024,Online,TV097382,Weston,GU32,England,South West,01JZ3N55NARNE1G3WPE1WGKKCJ,Coffee Capsule Dispenser,Kitchen,Coffee Accessories,24.99,7.497,2,32.00%,$8.00,$34.99,70.00%
KOE-889608,4/27/2024,In-Store,RV043501,Hatton,CV35,England,North East,01JZ3N5211H5Z8GNXF13ZBQ4P3,Popcorn Chicken,Food - Frozen,Frozen Snacks,6.49,1.947,17,19.00%,$1.23,$77.23,70.00%
QRI-948543,7/1/2024,Online,LJ099998,Leeds,LS6,England,East Midlands,01JZ3N53KVFN1BZ1409F0VRVZK,Organic Baby Spinach,Food - Produce,Fresh Vegetables,2.99,0.897,8,12.00%,$0.36,$16.74,70.00%
GIK-189195,12/20/2024,In-Store,NF066979,Stapleford,LN6,England,London,01JZ3N55BZG2B4ZMCC6BSG6CSN,Stainless Steel BBQ Grill Set,Outdoor,Grilling Accessories,49.99,14.997,10,28.00%,$14.00,$349.93,70.00%
WTV-806290,5/30/2024,Online,CY070612,Seaton,LE15,England,North East,01JZ3N531G9AYMH2BNY4X1PHPD,Tomato Basil Pasta Sauce,Food - Sauces,Pasta Sauces,3.99,1.197,6,20.00%,$0.80,$16.76,70.00%
FZJ-411782,8/5/2024,In-Store,DO001772,Pentre,SY4,Wales,South East,01JZ3N50BAN4VPEMRXSM07W2AJ,Whole Wheat Pasta,Food - Grains,Pasta,2.49,0.747,11,23.00%,$0.57,$19.17,70.00%
NPF-752480,8/20/2024,Online,QJ030114,Bristol,BS41,England,South West,01JZ3N51X8ESYNKHE1F3EGQNGB,Microfiber Cleaning Cloth Set,Home,Home Organization,9.99,2.997,4,2.00%,$0.20,$27.97,70.00%
EWP-440515,1/30/2024,In-Store,AP095673,Linton,BD23,England,North East,01JZ3N523DHKS67YP7SZPV9FYS,Puzzle 3D Model Kit,Toys,Educational Toys,22.99,6.897,12,28.00%,$6.44,$193.12,70.00%
KZT-373731,1/15/2024,Online,NF066979,London,EC1V,England,South West,01JZ3N55BZG2B4ZMCC6BSG6CSN,Stainless Steel BBQ Grill Set,Outdoor,Grilling Accessories,49.99,14.997,18,35.00%,$17.50,$629.87,70.00%
UYM-559563,2/23/2024,In-Store,RO013242,Thorpe,BD23,England,East Midlands,01JZ3N56C1A9CHA0N1Y69ZAW81,Nutty Granola Clusters,Food - Cereal,Granola,2.49,0.747,12,6.00%,$0.15,$20.92,70.00%
WGP-179826,12/9/2024,Online,EF042732,Hatton,CV35,England,East Midlands,01JZ3N50YQRSTBEK1V0TPVB9V1,Vegetable Stir-Fry Sauce,Food - Sauces,Asian Sauces,3.49,1.047,2,22.00%,$0.77,$4.89,70.00%
EBE-258783,6/1/2024,In-Store,TA007457,Pentre,SY4,Wales,South West,01JZ3N53KJEBVF4YQHG9P971C1,Foldable Electric Scooter,Outdoor,Outdoor Accessories,349.99,104.997,3,12.00%,$42.00,$734.98,70.00%
HKR-361612,1/8/2024,Online,SE071898,Langley,SG4,England,East of England,01JZ3N50F0436PFGGCPVTJH0N7,Children's Science Experiment Lab Kit,Toys,Educational Toys,29.99,8.997,20,9.00%,$2.70,$419.86,70.00%
FUJ-789993,3/31/2024,In-Store,HF000394,Liverpool,L74,England,Yorkshire and the Humber,01JZ3N559NT6YEGCRYTD92A483,Savory Italian Herbs,Food - Spices,Herb Blends,2.99,0.897,5,17.00%,$0.51,$10.47,70.00%
LGE-086752,7/3/2024,Online,YD055268,Langley,SG4,England,North East,01JZ3N50P7QRCZ56X6EBRNMQA2,Biodegradable Phone Case,Accessories,Eco-Friendly Accessories,23.99,7.197,13,30.00%,$7.20,$218.31,70.00%
RVF-496613,12/16/2024,In-Store,SJ097729,Eaton,DN22,England,South West,01JZ3N569SEYEBC3Y2VT0C9KDN,LED Disco Ball Light,Home,Lighting & Lamps,19.99,5.997,11,21.00%,$4.20,$153.92,70.00%
QVJ-122549,5/6/2024,Online,MU027586,Birmingham,B12,England,West Midlands,01JZ3N56HY4FQKQHB3EV81GBHT,Ginger Snaps,Food - Confectionery,Cookies & Biscuits,2.79,0.837,12,38.00%,$1.06,$23.44,70.00%
HUS-487080,2/6/2024,In-Store,CH053616,Milton,AB56,Scotland,East of England,01JZ3N5564R4DZ0FNCBDX3G003,Ginger Turmeric Shots,Food - Beverages,Health Drinks,3.99,1.197,9,15.00%,$0.60,$25.14,70.00%
EBN-292235,3/14/2024,Online,SW066440,Sutton,CT15,England,West Midlands,01JZ3N53V1DCJKDH1GWMN78CP9,Honey Mustard Chicken Breasts,Food - Meat,Processed Meats,8.99,2.697,1,11.00%,$0.99,$6.29,70.00%
CGW-286266,1/16/2024,In-Store,LR063902,Birmingham,B40,England,Yorkshire and the Humber,01JZ3N55QAK5FSHMPNACECT7AF,Pumpkin Puree,Food - Canned Goods,Vegetable Purees,2.99,0.897,18,11.00%,$0.33,$37.67,70.00%
PNQ-370403,4/28/2024,Online,YK006641,London,WC1B,England,South West,01JZ3N52KE6WBADNVZ1EBY62KA,Miso Soup Mix,Food - Soups,Instant Soups,3.29,0.987,17,36.00%,$1.18,$39.15,70.00%
ZMO-132174,12/7/2024,In-Store,QP097532,Norton,S8,England,West Midlands,01JZ3N52PTSQ54GHM51GFH98K5,Granola Cereal,Food - Breakfast,Granola/Cereal,4.49,1.347,13,38.00%,$1.71,$40.86,70.00%
NIR-271379,4/30/2024,Online,PW078874,Liverpool,L33,England,Yorkshire and the Humber,01JZ3N521XB0B19GTMP8GC1TWY,Classic Minestrone Soup,Food - Soups,Canned Soups,2.99,0.897,18,34.00%,$1.02,$37.67,70.00%
AGP-394891,1/9/2024,In-Store,UX079399,Tullich,AB55,Scotland,South East,01JZ3N56EDKJN482JFVHXHX5N3,Ergonomic Mouse Pad with Wrist Support,Office,Office Accessories,14.99,4.497,20,36.00%,$5.40,$209.86,70.00%
XLY-490554,6/10/2024,Online,MR095188,Birmingham,B40,England,Yorkshire and the Humber,01JZ3N51CRWEQ95V50E9ZWKXWJ,Outdoor Inflatable Pool,Outdoor,Outdoor Recreation,149.99,44.997,11,10.00%,$15.00,"$1,154.92",70.00%
EID-239131,2/7/2024,In-Store,KP021070,Wootton,NN4,England,London,01JZ3N54V8YM6909XY5GCANCVQ,Cheese Stuffed Jalapenos,Food - Snacks,Savory Snacks,5.99,1.797,16,15.00%,$0.90,$67.09,70.00%
SRF-971261,6/19/2024,Online,CJ007867,Newton,NG34,England,South East,01JZ3N52JGHV09VASZF1B5T3PX,Mini Air Purifier,Health,Health Devices,49.99,14.997,17,39.00%,$19.50,$594.88,70.00%
WEQ-875576,1/23/2024,In-Store,XT003630,Whitwell,DL10,England,London,01JZ3N51E8MR51C41QCMABZRME,Mini Meatballs,Food - Frozen Meals,Frozen Appetizers,5.99,1.797,2,19.00%,$1.14,$8.39,70.00%
JAP-101546,12/15/2024,Online,ON014862,Dean,OX7,England,London,01JZ3N52V9P3X4AK5BDTK63N1C,Honey Glazed Carrots,Food - Produce,Prepared Vegetables,3.49,1.047,1,20.00%,$0.70,$2.44,70.00%
YGA-301204,12/17/2024,In-Store,XE095413,Whitwell,DL10,England,South East,01JZ3N56E5FPP5DJHCE2JHF03F,Coconut Cream,Food - Baking & Cooking,Baking Ingredients,2.99,0.897,3,13.00%,$0.39,$6.28,70.00%
